"Y" "N"
261 509
1 3
27 48
16 39
4 6
43 85
23 44
2 6
39 99
7 17
91 159
4 8
1 4
11 17
2 4
5 5
3 3
17 37
33 67
2 4
6 6
3 7
1 1
3 6
30 66
2 4
39 79
7 10
6 6
15 26
135 273
14 26
217 449
200 416
52 128
36 91
35 72
2 9
127 218
12 22
84 148
69 111
295 850
390 837
35 57
46 78
29 49
44 94
10 30
145 260
27 65
6 12
9 16
38 84
58 106
11 19
16 22
94 207
12 32
37 82
102 208
42 77
108 230
2 7
5 5
22 43
28 54
122 260
6 13
83 153
7 17
7 15
7 11
4 9
9 17
1 2
13 18
8 13
6 12
7 14
6 22
0 2
3 5
11 26
41 63
7 23
8 18
4 10
18 37
7 14
9 13
7 22
0 1
54 73
113 194
322 609
24 35
3 6
3 6
74 149
29 56
60 96
254 476
97 185
384 769
12 27
38 82
32 68
7 22
430 881
322 632
1 1
41 88
2 5
18 33
4 16
13 23
20 36
11 30
14 25
31 63
23 42
9 22
5 12
50 83
9 17
30 52
30 52
3 4
5 9
12 29
37 63
8 14
163 325
66 132
38 60
60 96
77 186
16 27
37 74
24 69
156 309
3 6
91 209
109 257
46 78
15 39
25 53
47 82
16 34
58 110
27 55
36 77
4 10
58 116
32 73
2 4
1 2
56 115
83 159
39 132
7 14
105 251
42 109
2 5
12 23
3 4
2 6
3 6
2 7
173 360
149 301
49 98
3 7
32 65
0 2
437 825
19 36
3 6
164 325
0 3
132 258
86 193
88 157
12 23
211 431
211 431
8 12
830 1457
24 48
16 25
36 105
42 80
5 14
65 129
29 78
40 116
15 49
315 685
7 12
22 41
145 266
15 31
26 49
42 88
17 38
246 517
8 13
38 61
67 127
21 44
2 9
3 7
0 3
2 3
2 4
16 39
12 24
44 98
103 212
33 72
3 11
64 117
27 66
154 350
1 3
4 12
70 132
16 44
18 21
44 82
68 124
303 571
7 18
5 14
2 5
11 20
41 87
4 7
199 409
2 18
10 16
11 18
13 27
15 30
67 98
94 163
338 603
9 14
5 7
73 178
4 5
34 58
3 7
8 14
47 103
36 58
1 5
1 3
143 229
93 159
66 114
2 3
1 2
17 48
45 84
53 100
288 552
4 7
0 1
6 13
10 29
37 59
60 120
76 155
0 2
2 3
1 2
0 1
6 14
42 76
58 131
39 80
135 294
150 269
5 7
36 74
24 54
11 34
3 7
23 34
127 261
5 10
109 195
38 86
46 95
12 19
1 3
15 26
8 32
27 42
17 36
10 20
10 21
5 5
47 84
1 1
27 53
1 1
13 34
175 307
7 19
7 16
99 143
67 86
64 118
87 148
67 129
157 284
21 43
77 139
61 125
26 34
25 48
19 41
92 179
48 97
26 42
46 106
53 112
17 42
59 132
13 29
102 177
84 176
96 151
98 159
3 7
21 35
109 229
62 123
42 94
9 16
3 5
80 141
21 33
80 121
63 146
0 3
4 7
83 162
20 40
39 67
18 23
4 14
5 6
3 3
123 262
76 210
4 8
70 141
39 64
87 203
83 186
22 42
23 41
0 4
9 20
19 56
0 1
114 217
0 3
24 47
148 278
33 79
7 17
10 17
30 51
3 3
1 5
109 218
0 1
1 1
9 53
110 219
1 3
11 16
5 9
2 4
0 1
2 6
11 20
10 34
2 5
67 135
43 89
4 5
140 277
1 2
39 88
33 106
42 74
18 41
64 124
12 32
29 62
161 260
29 87
108 184
41 72
10 26
189 363
76 141
21 31
39 74
73 150
14 33
73 180
124 257
94 179
5 10
3 7
76 149
4 9
7 11
11 37
201 369
73 139
20 54
180 387
35 127
6 13
26 69
38 75
2 10
18 33
94 190
9 16
